slwanbaila || WKWKWKK ada aja idenya
neysiaasyif || HAHAHAHAHA
ariirhmn__ || 🤣
only_dewz || 😂😂😂
nadyaamnda || adaaa aja 😭😭
_psyche_14 || Endingnya sangat memuaskan 😂
ysioktvia_ || 😭
sianggiwi || Perbanyak adegan semburnya dong
syahranisya_ || @tim_jurnalrisa udh kode pgn diajak penelusuran nih kayanya 🤭
winn.dawin || ga expect bakalan disembur😭😭😭😭
bidan_irairanti || Wkwkwkwkk
bibosimbolon || mulai kumat nih oom nya aisyah dan kakek nya aisyah
sh.azizah96 || Aisya be like 😂
vollandvolt_ || 😂😂😂😂😂
yulianisusantoo || Ada ada aje bapak ama anak ini😭
teknisi_ac_kota_padang || 😂😂😂😂😂😂😂😂😂
yasminealadetta || 😂😂
_mfthljanch || @risa_saraswati ajakin tuh tehh🤣
jusma__ || Nda sanggup😂😂😂
raudhatuljanahh_ || 😭😭😭 yaAllah
aliffiaput || Hahahah sukurin 😂😂
isnaasrh16_ || Pake bawa bawa AI segala😭
_lisdaa20 || Bapak sama anak sama aja 😭🤣
gunawanaldi06 || 😂😂😂
tiauloli || Udh bener2 jd aktor Pak Muh 😂
itsmenatasya_306 || Kelakuan bpk dan ank😭😂
ezardwn || 🤣
sintia.mmnto || Kak bisa bisanya yaa lu😭😭😭🤣
rismaa_riss05 || nyangkaa ga lu pada😭
dndaaudyna || Natural bgt ka😍
saryars || @sarawijayanto nih kaaaa nantangin ajakin ka
chllseea_ || Yahmar😭😭
ekaaha4_ || Kak Fadil ada aj gebrakan aksi nya😭
gurlxvrr || 😂😂
apriiyana || 😂
1am.l0v3.1will_99 || Kurang menantang itu mh😂
dheoram || 🥶🥶
yuliag13__ || 😭😭😭😭
sabrinaelmumtaz || 😂😂
dukungkaren || 😂😂😂😂
meyulie || Hahah puas endingnya 😂
agnrslnmftn_ || Dari pinggir keliatan botaknya🤭
xeeutaa || 😭😭😭😭
_gilangrmdhn.__ || disembur wkwkwk
kitagasama || 😂😂😂
abcdevaaaaaa___ || bisa aja ide lu dil😭😭
nabilaharifahh || @sarawijayanto udh siap diajak penelusuran nyai😂
nandangilang || 😂😂
ayshaaners || cape😭
onecitra || WKWKWK😂
muharrima_ || @diarymisterisara Undang fadil dong bakalan seruu bangett nihh😆😆😍
ummu6045 || Sumpah ngakak banget pas terakhir 😂😂😂
amel_febriansyah || Nyai @sarawijayanto @diarymisterisara tolong ajak diaaaaaa pleaseeeeeeeeee ☺️☺️
_mzlinnn || anda sampean😭🤣
helda_yn || 😢😢😢
astislm || yang bener aje dill 😭🤣
rizkaumi || 😂😂
naagstn__ || endingnya mewakili penonton😭😭😭
ranineran92 || 😂😂😂😂
ziahkhairunnisa || 😂😂😮😮
leeviacthreenine || 🤣🤣🤣🤣🤣
hikmahhh22_ || masih pagi ada aja gebrakanya😂
cristynzuna || cape ngetawain ini 😭😭
cikaanggraeni10 || Aduuuh tua tua gemes banget dah ah Ama kelakuannya xixi😂
elyana.ozha || 😂😂😂
